1	0.043744	0.061836	0.061866	0.061768	0.030565
2	0.077408	0.121335	0.121335	0.121335	0.030565
3	0.113479	0.151335	0.142738	0.141830	0.113479
4	0.139633	0.204560	0.204560	0.204560	0.139633
5	0.168856	0.275850	0.275850	0.275850	0.061291
6	0.193014	0.327076	0.365704	0.346530	0.030334
7	0.222881	0.400057	0.427371	0.410694	0.029579
8	0.244423	0.434377	0.487757	0.475456	0.030078
9	0.272124	0.481348	0.550016	0.536048	0.030200
10	0.299746	0.557214	0.605767	0.590749	0.061471
11	0.316700	0.621707	0.687520	0.687520	0.061374
12	0.343364	0.687697	0.750000	0.750000	0.061059
13	0.369116	0.751300	0.750796	0.751060	0.061212
14	0.380869	0.789210	0.770676	0.801335	0.061292
15	0.396021	0.843200	0.851585	0.875635	0.061304
16	0.394496	0.881230	0.903010	0.906515	0.061167
17	0.415091	0.891200	0.921550	0.933432	0.060630
18	0.414158	0.910000	0.945171	0.935171	0.060630
